ID_3차원측정,성별,나이,336. 손직선길이,337. 엄지손가락직선길이,338. 검지손가락직선길이,339. 가운데손가락직선길이,340. 반지손가락직선길이,341. 새끼손가락직선길이,342. 손목가쪽-엄지손가락손끝길이,343. 손목중심-엄지손가락첫마디길이,344. 손목중심-검지손가락첫마디길이,345. 손바닥직선길이,346. 손목중심-반지손가락첫마디길이,347. 손목중심-새끼손가락첫마디길이,348. 엄지손가락첫마디-검지손가락첫마디직선길이,349. 검지손가락끝마디너비,350. 가운데손가락끝마디너비,351. 반지손가락끝마디너비,352. 새끼손가락끝마디너비,353. 검지손가락중간마디너비 ,354. 가운데손가락중간마디너비,355. 반지손가락중간마디너비,356. 새끼손가락중간마디너비,357. 손안쪽가쪽직선길이,358. 엄지손가락끝마디둘레,359. 검지손가락끝마디둘레,360. 가운데손가락끝마디둘레,361. 반지손가락끝마디둘레,362. 새끼손가락끝마디둘레,363. 검지손가락중간마디둘레,364. 가운데손가락중간마디둘레,365. 반지손가락중간마디둘레,366. 새끼손가락중간마디둘레,367. 엄지손가락첫마디둘레,368. 검지손가락첫마디둘레,369. 가운데손가락첫마디둘레,370. 반지손가락첫마디둘레,371. 새끼손가락첫마디둘레,372. 손둘레,373. 손두께,374. 손두께(2/3 지점)
22_F_0001,여,70,174.3,51.8,64.6,75.1,69.6,57.4,106.8,70.5,102.3,99.6,94,83.8,54.8,16.9,16.8,16.2,16.9,18.2,18.6,18.8,16.7,82.5,58,51.3,52.3,50.4,51.2,59.7,62.4,61.3,54.8,65.6,66.1,66.6,65.1,58.1,204.3,28.2,39.4
22_F_0002,여,79,171.6,54.5,71.6,77.6,72.3,59.3,103.8,68.3,92.7,94.1,92.1,83.6,46.2,16.5,17.4,16.4,16.2,19.9,20.6,19.4,15.8,85.4,66.1,53.8,55.4,50.6,47.6,66.3,68.3,62.9,54.1,80.1,73.8,69.1,66.6,58.3,206,32.5,40
22_F_0003,여,70,170.4,55.4,65.4,73.3,66.1,51.5,103.7,67.9,98.3,97.3,95.8,93.3,49.2,16.5,17.4,14.9,15.9,18.5,19.6,18,15.9,85.5,60,49.9,51.3,47.2,46.2,60.2,62,57.6,50.6,70.8,70.4,71.5,67.3,53.7,198.3,29.3,38.9
22_F_0004,여,73,164.4,49.9,61,68.7,64.8,54,99.9,68.3,96.4,95.7,89.7,79.1,48.7,19.2,19,14.2,16.9,21.3,20.8,16.8,16.3,81.9,65.8,60.1,59.5,47.6,52.1,64.6,65.7,58,54,67.2,72.4,67.2,65.1,60.7,196.2,28.3,38.2
22_F_0005,여,80,164.4,42.6,62,67.2,64.5,50.7,98.5,73.6,95.7,97.2,92.1,83.2,47,14.4,13.9,13.8,13.9,16.8,16.3,17.1,13.8,77.4,55.5,44.6,45.6,44.9,40.4,54.5,54.2,54.1,43.7,59.7,62.4,57.8,57.9,55.2,187.6,27.3,36.1
22_F_0006,여,78,170,45.6,59.1,68.6,67.1,52.4,95.8,71.5,103.6,101.5,95.1,86.6,56,18.6,18.1,16.4,15.4,19,20.5,18.4,16.7,84.8,71,56,56.9,52.9,44.7,60.3,64.2,61.5,55.9,70.8,71.7,73.8,70.1,68.1,202.3,28.7,40
22_F_0007,여,70,167.7,41.1,60.8,72.9,70.8,49,98.5,75.2,99,94.9,89.7,86.8,44.3,15.3,15.9,14.9,13,17.9,19.1,19.2,15.8,86.7,60.2,48.6,49.1,46.8,40.3,57.8,60.3,60.4,48.8,62.1,65.1,68.2,66.8,58.2,199.3,25.8,39.1
22_F_0008,여,79,167,48.8,57.7,66.7,66.9,61.2,100.9,69.6,102.3,100.6,93.3,81,53.7,16.9,16.7,16.8,15.9,19.4,19.8,19.9,16.9,84.2,64.6,52,52.5,51.5,46.3,61.6,64.1,64.7,55.5,70.7,71.7,71.5,73,71.6,205.3,29.7,40.5
22_F_0009,여,72,176,53.3,70.5,73.8,72.7,64.2,109.6,75.1,101.6,102.2,97,84.5,52.2,18.7,18.6,17.2,16.7,20.1,20.6,19.8,17.6,87.2,70.6,57.6,58.1,54.6,48,64.7,64.4,62.8,55.3,77.2,76.4,74.8,77.8,70.6,215.5,34,46.9
22_F_0010,여,75,166.8,53.1,63.9,72.1,70.8,54.3,101.5,64.7,95.3,94.8,90,74.5,50.7,16.5,15.9,16,16.1,17.5,19.7,17.4,16.3,74,59.9,49.9,48.7,47.4,45.7,56.2,62.5,57.6,50.9,65.9,63.4,66.3,65.3,59.2,187.4,28.4,37.2
22_F_0011,여,77,166,51.6,69.1,75.1,71.7,54.1,100.8,69.4,91.6,91.1,89.3,82.9,45.1,16.3,16.2,16.1,16.5,19.2,20.1,18.3,16.6,82.5,63.5,50.8,52.5,49.3,48.3,64.9,66.5,61.7,53.5,68.8,71,70.6,66.2,62.3,198.6,29.7,40.8
22_F_0012,여,81,172.3,52.2,68.5,74.4,67.7,59.3,102,69.7,98.3,97.9,96.2,86.5,49.6,17.5,16.2,16.6,15.8,18.9,18.9,19.3,16.2,81.4,63.8,53,52.9,53.9,47.3,61.9,62.4,61.9,54.6,71.5,68.3,65.4,62.8,59.2,195.8,29.2,41.9
22_F_0013,여,72,174.7,50.6,68.4,69.7,71.7,57.9,100.9,70,97.4,105.1,94.7,83.5,49.5,15.8,16.6,15.8,16.9,20.3,19.5,19.4,17,81,61.9,50.7,54,50.6,48.7,62.8,60.8,62.3,56.1,69.4,72.9,73.2,73.2,66.7,198.8,30.8,38.3
22_F_0014,여,74,167.8,45.5,68.3,73.8,67.4,54.9,99.7,72,91.4,94,93.3,85.1,41.3,17,17,15.4,15.5,20.2,20.5,18.1,16.1,82.7,60.7,53.2,54.1,49.7,45.3,66.2,65.8,60.4,51.9,68,75,74,66.4,59.6,196.8,32.4,42.7
22_F_0015,여,78,160.3,44.9,59.8,69.4,65.2,51.9,92.5,68.2,91.1,91.1,87.6,79.9,43.7,15.4,16.2,14.9,13.6,18.7,18.8,18.2,15.4,82.8,61.1,49.6,50.7,47.8,39.9,59.1,59.9,57.4,48,64.4,66.5,66.1,66.2,58.9,194,27.3,35.8
22_F_0016,여,81,165.1,46.3,69,69.5,70.9,51.6,93.3,68.1,92.3,95.5,87.4,83.5,41.6,17.3,17.1,15.6,14.6,18.9,19.4,19.4,16.2,83.8,66.3,53.4,53.9,49.9,44.7,60.1,61.8,61.4,53.7,74.1,68.4,69.2,66.3,57.7,196.4,29,39.7
